Group,TestScore,,,,,,,,,,,,,,,,
Group1,102.60,,,,,,,,,,,,,,,,
Group1,93.30,,,,,,,,,,,,,,,,
Group1,78.08,,,,,,,,,,,,,,,,
Group1,91.98,,,,,,,,,,,,,,,,
Group1,77.67,,,,,,,,,,,,,,,,
Group1,66.06,,,,,,,,,,,,,,,,
Group1,93.66,,,,,,,,,,,,,,,,
Group1,98.76,,,,,,,,,,,,,,,,
Group1,75.57,,,,,,,,,,,,,,,,
Group1,86.66,,,,,,,,,,,,,,,,
Group1,64.10,,,,,,,,,,,,,,,,
Group1,83.57,,,,,,,,,,,,,,,,
Group1,75.07,,,,,,,,,,,,,,,,
Group1,90.74,,,,,,,,,,,,,,,,
Group1,75.18,,,,,,,,,,,,,,,,
Group1,74.03,,,,,,,,,,,,,,,,
Group1,88.62,,,,,,,,,,,,,,,,
Group1,88.01,,,,,,,,,,,,,,,,
Group1,69.44,,,,,,,,,,,,,,,,
Group1,94.18,,,,,,,,,,,,,,,,
Group1,78.14,,,,,,,,,,,,,,,,
Group1,82.01,,,,,,,,,,,,,,,,
Group1,80.34,,,,,,,,,,,,,,,,
Group1,79.76,,,,,,,,,,,,,,,,
Group1,66.58,,,,,,,,,,,,,,,,
Group1,89.01,,,,,,,,,,,,,,,,
Group1,68.45,,,,,,,,,,,,,,,,
Group1,86.91,,,,,,,,,,,,,,,,
Group1,71.90,,,,,,,,,,,,,,,,
Group1,85.42,,,,,,,,,,,,,,,,
Group2,83.35,,,,,,,,,,,,,,,,
Group2,80.46,,,,,,,,,,,,,,,,
Group2,84.39,,,,,,,,,,,,,,,,
Group2,83.46,,,,,,,,,,,,,,,,
Group2,89.38,,,,,,,,,,,,,,,,
Group2,84.24,,,,,,,,,,,,,,,,
Group2,78.75,,,,,,,,,,,,,,,,
Group2,84.64,,,,,,,,,,,,,,,,
Group2,84.68,,,,,,,,,,,,,,,,
Group2,83.76,,,,,,,,,,,,,,,,
Group2,76.19,,,,,,,,,,,,,,,,
Group2,80.71,,,,,,,,,,,,,,,,
Group2,82.70,,,,,,,,,,,,,,,,
Group2,81.45,,,,,,,,,,,,,,,,
Group2,79.05,,,,,,,,,,,,,,,,
Group3,74.99,,,,,,,,,,,,,,,,
Group3,69.27,,,,,,,,,,,,,,,,
Group3,80.64,,,,,,,,,,,,,,,,
Group3,82.22,,,,,,,,,,,,,,,,
Group3,79.61,,,,,,,,,,,,,,,,
Group3,78.80,,,,,,,,,,,,,,,,
Group3,79.28,,,,,,,,,,,,,,,,
Group3,85.70,,,,,,,,,,,,,,,,
Group3,78.39,,,,,,,,,,,,,,,,
Group3,65.34,,,,,,,,,,,,,,,,
Group3,70.60,,,,,,,,,,,,,,,,
Group3,72.37,,,,,,,,,,,,,,,,
Group3,82.64,,,,,,,,,,,,,,,,
Group3,81.15,,,,,,,,,,,,,,,,
Group3,70.14,,,,,,,,,,,,,,,,
Group3,77.64,,,,,,,,,,,,,,,,
Group3,68.71,,,,,,,,,,,,,,,,
Group3,100.00,,,,,,,,,,,,,,,,
Group3,79.59,,,,,,,,,,,,,,,,
Group3,81.61,,,,,,,,,,,,,,,,
Group3,74.37,,,,,,,,,,,,,,,,
Group3,88.28,,,,,,,,,,,,,,,,
Group4,78.37,,,,,,,,,,,,,,,,
Group4,80.41,,,,,,,,,,,,,,,,
Group4,70.15,,,,,,,,,,,,,,,,
Group4,62.45,,,,,,,,,,,,,,,,
Group4,74.76,,,,,,,,,,,,,,,,
Group4,76.19,,,,,,,,,,,,,,,,
Group4,68.84,,,,,,,,,,,,,,,,
Group4,90.63,,,,,,,,,,,,,,,,
Group4,94.00,,,,,,,,,,,,,,,,
Group4,82.19,,,,,,,,,,,,,,,,
Group4,56.97,,,,,,,,,,,,,,,,
Group4,87.70,,,,,,,,,,,,,,,,
Group4,68.95,,,,,,,,,,,,,,,,
Group4,55.43,,,,,,,,,,,,,,,,
Group4,95.05,,,,,,,,,,,,,,,,
Group4,77.86,,,,,,,,,,,,,,,,
Group4,69.37,,,,,,,,,,,,,,,,
Group4,68.67,,,,,,,,,,,,,,,,
Group4,82.92,,,,,,,,,,,,,,,,
Group4,82.40,,,,,,,,,,,,,,,,
Group4,67.27,,,,,,,,,,,,,,,,
Group4,76.32,,,,,,,,,,,,,,,,
Group4,75.72,,,,,,,,,,,,,,,,
Group4,82.99,,,,,,,,,,,,,,,,
Group4,85.30,,,,,,,,,,,,,,,,
Group4,79.14,,,,,,,,,,,,,,,,
Group4,85.17,,,,,,,,,,,,,,,,
